summary_type,rat,session,block,context,n_trials,n_success,success_rate
learning_block,GG02,07222025_A,1.0,wc,10,0,0.0
learning_block,GG02,07222025_A,2.0,bc,10,0,0.0
learning_block,GG02,07222025_A,3.0,wc,10,0,0.0
learning_block,GG02,07222025_A,4.0,bc,9,0,0.0
learning_block,GG02,07222025_A,5.0,wc,10,0,0.0
learning_block,GG02,07312025_A,1.0,wc,10,1,0.1
learning_block,GG02,07312025_A,2.0,bc,10,0,0.0
learning_block,GG02,07312025_A,3.0,wc,10,3,0.3
learning_block,GG02,07312025_A,4.0,bc,10,0,0.0
learning_block,GG02,07312025_A,5.0,wc,10,8,0.8
recall_context,GG02,08042025_A,,bc,20,5,0.25
recall_context,GG02,08042025_A,,wc,20,14,0.7
learning_block,GG08,07222025_A,1.0,wc,10,0,0.0
learning_block,GG08,07222025_A,2.0,bc,10,0,0.0
learning_block,GG08,07222025_A,3.0,wc,10,5,0.5
learning_block,GG08,07222025_A,4.0,bc,10,0,0.0
learning_block,GG08,07222025_A,5.0,wc,9,7,0.7777777777777778
learning_block,GG08,07312025_A,1.0,wc,10,7,0.7
learning_block,GG08,07312025_A,2.0,bc,9,0,0.0
learning_block,GG08,07312025_A,3.0,wc,10,7,0.7
learning_block,GG08,07312025_A,4.0,bc,9,7,0.7777777777777778
learning_block,GG08,07312025_A,5.0,wc,9,9,1.0
recall_context,GG08,08042025_A,,bc,18,0,0.0
recall_context,GG08,08042025_A,,wc,19,10,0.5263157894736842
