day,rat,session,trial,context,start frame,well visit frame,stop frame,success,head direction,trial time,path to well,total path,wrong well visit,trial timeout,start_frame_local,stop_frame_local,well_visit_local,block,idx_in_block
1,GG08,07222025_B,1,wc,2013,,2586,False,,19.133333333333333,,399.89253124248677,False,False,0,573,,1,1
1,GG08,07222025_B,2,wc,3534,,3956,False,173.29191515819036,14.1,,2192.6034441082993,False,False,574,996,,1,2
1,GG08,07222025_B,3,wc,4516,,5060,False,158.9506065040821,18.166666666666668,,976.0140990308842,False,False,997,1541,,1,3
1,GG08,07222025_B,4,wc,5567,,6064,False,,16.6,,1612.6885098344787,False,False,1542,2039,,1,4
1,GG08,07222025_B,5,wc,6661,6847.0,7026,False,,12.2,463.86270885545264,643.4025690831296,False,True,2040,2405,2226.0,1,5
1,GG08,07222025_B,6,wc,7737,,8117,False,135.0466813118054,12.7,,1172.3693503764805,False,False,2406,2786,,1,6
1,GG08,07222025_B,7,wc,8578,,9123,False,119.88943041823916,18.2,,1309.3582383805974,False,False,2787,3332,,1,7
1,GG08,07222025_B,8,wc,9651,,10120,False,95.7226615983534,15.666666666666666,,1121.5390059822093,False,False,3333,3802,,1,8
1,GG08,07222025_B,9,wc,10647,,11036,False,168.71838683038686,13.0,,847.312588236685,False,False,3803,4192,,1,9
1,GG08,07222025_B,10,wc,11745,,12200,False,308.7071711041398,15.2,,364.32288500885534,False,False,4193,4648,,1,10
1,GG08,07222025_B,11,bc,13883,,14833,False,,31.7,,75.97198361205413,False,False,4649,5599,,2,1
1,GG08,07222025_B,12,bc,15552,,16238,False,97.1640349442215,22.9,,410.44523165818856,False,False,5600,6286,,2,2
1,GG08,07222025_B,13,bc,16832,,17331,False,202.4645845701258,16.666666666666668,,285.42724570851067,False,False,6287,6786,,2,3
1,GG08,07222025_B,14,bc,18017,,18621,False,,20.166666666666668,,552.367747911155,False,False,6787,7391,,2,4
1,GG08,07222025_B,15,bc,19267,,19791,False,186.17131407397787,17.5,,305.3475859942639,False,False,7392,7916,,2,5
1,GG08,07222025_B,16,bc,20486,,20975,False,,16.333333333333332,,429.8684342399315,False,False,7917,8406,,2,6
1,GG08,07222025_B,17,bc,21680,,22224,False,,18.166666666666668,,438.03129297097286,False,False,8407,8951,,2,7
1,GG08,07222025_B,18,bc,22779,,23112,False,26.616109790786197,11.133333333333333,,173.81810066599346,False,False,8952,9285,,2,8
1,GG08,07222025_B,19,bc,23961,,24503,False,,18.1,,241.03917890204855,False,False,9286,9828,,2,9
1,GG08,07222025_B,20,bc,25066,25304.0,25565,False,,16.666666666666668,216.78335162205127,553.3261141124495,False,True,9829,10328,10067.0,2,10
1,GG08,07222025_B,21,wc,28001,,28510,False,,17.0,,409.88595418670633,False,False,10329,10838,,3,1
1,GG08,07222025_B,22,wc,29310,29402.0,29705,False,165.91199669094135,13.2,76.75210762613764,309.04235747571613,False,True,10839,11234,10931.0,3,2
1,GG08,07222025_B,23,wc,30531,30591.0,30884,False,141.29144018189083,11.8,62.2907814113617,705.5794760316819,True,False,11235,11588,11295.0,3,3
1,GG08,07222025_B,24,wc,31399,31523.0,31721,False,101.26102861701446,10.766666666666667,150.36321653538712,382.4317359453461,False,True,11589,11911,11713.0,3,4
1,GG08,07222025_B,25,wc,32260,32315.0,32458,True,8.261025079078763,6.633333333333334,95.15535375603645,364.5689502902844,False,False,11912,12110,11967.0,3,5
1,GG08,07222025_B,26,wc,33068,,33433,False,,12.2,,293.41535098410606,False,False,12111,12476,,3,6
1,GG08,07222025_B,27,wc,34084,34138.0,34357,True,141.49010462260821,9.133333333333333,97.1763710939133,355.77312479177306,False,False,12477,12750,12531.0,3,7
1,GG08,07222025_B,28,wc,34958,35012.0,35185,True,,7.6,184.75848282913603,378.84569536068284,False,False,12751,12978,12805.0,3,8
1,GG08,07222025_B,29,wc,35685,35769.0,35923,True,80.48503784204473,7.966666666666667,49.32240776189405,347.91767362420734,False,False,12979,13217,13063.0,3,9
1,GG08,07222025_B,30,wc,36526,36587.0,36667,True,90.062297614974,4.733333333333333,83.32500268359149,190.0545715234412,False,False,13218,13359,13279.0,3,10
1,GG08,07222025_B,31,bc,40036,,40548,False,,17.1,,487.548746602101,False,False,13360,13872,,4,1
1,GG08,07222025_B,32,bc,41164,42643.0,42650,False,56.30167536959016,49.56666666666667,1658.0998713296708,1659.854115294775,False,True,13873,15359,15352.0,4,2
1,GG08,07222025_B,33,bc,42507,42643.0,42858,False,,11.733333333333333,137.225340308706,237.5587584649785,False,True,15216,15567,15352.0,4,3
1,GG08,07222025_B,34,bc,43372,,43849,False,,15.933333333333334,,406.47758081254483,False,False,15568,16045,,4,4
1,GG08,07222025_B,35,bc,44438,44689.0,44835,False,,13.266666666666667,211.8474260142937,343.35061493949036,False,True,16046,16443,16297.0,4,5
1,GG08,07222025_B,36,bc,45330,45492.0,45703,False,,12.466666666666667,162.0465344996266,240.30470965376395,False,True,16444,16817,16606.0,4,6
